Timestamp,Elapsed_Sec,Total_Sectors,Diff_Sectors,Diff_KB,Diff_MB
2026-02-26 14:24:40,436,17252458,24,12,0.01
2026-02-26 14:24:45,441,17252498,40,20,0.01
2026-02-26 14:24:47,443,17252554,56,28,0.02
2026-02-26 14:24:49,445,17252562,8,4,0.00
2026-02-26 14:24:53,449,17252618,56,28,0.02
2026-02-26 14:24:59,455,17252746,128,64,0.06
2026-02-26 14:25:00,456,17252754,8,4,0.00
2026-02-26 14:25:05,461,17252842,88,44,0.04
2026-02-26 14:25:12,468,17252874,32,16,0.01
2026-02-26 14:25:15,471,17252898,24,12,0.01
2026-02-26 14:25:17,473,17252978,80,40,0.03
2026-02-26 14:25:20,476,17252994,16,8,0.00
2026-02-26 14:25:22,478,17253034,40,20,0.01
2026-02-26 14:25:24,480,17253058,24,12,0.01
2026-02-26 14:25:28,484,17253082,24,12,0.01
2026-02-26 14:25:35,491,17253170,88,44,0.04
2026-02-26 14:25:40,496,17253330,160,80,0.07
2026-02-26 14:25:45,501,17253386,56,28,0.02
2026-02-26 14:25:50,506,17253498,112,56,0.05
2026-02-26 14:25:54,510,17253506,8,4,0.00
2026-02-26 14:25:57,513,17253554,48,24,0.02
2026-02-26 14:26:01,517,17253562,8,4,0.00
2026-02-26 14:26:03,519,17253650,88,44,0.04
2026-02-26 14:26:05,521,17253666,16,8,0.00
2026-02-26 14:26:08,524,17253690,24,12,0.01
2026-02-26 14:26:13,529,17253730,40,20,0.01
2026-02-26 14:26:15,531,17253850,120,60,0.05
2026-02-26 14:26:18,534,17253890,40,20,0.01
2026-02-26 14:26:20,536,17253898,8,4,0.00
2026-02-26 14:26:24,540,17253938,40,20,0.01
2026-02-26 14:26:25,541,17253954,16,8,0.00
2026-02-26 14:26:29,545,17253978,24,12,0.01
2026-02-26 14:26:34,550,17254018,40,20,0.01
2026-02-26 14:26:35,551,17254066,48,24,0.02
2026-02-26 14:26:39,555,17254122,56,28,0.02
2026-02-26 14:26:44,560,17254178,56,28,0.02
2026-02-26 14:26:45,561,17254250,72,36,0.03
2026-02-26 14:26:51,567,17254354,104,52,0.05
2026-02-26 14:26:52,568,17254402,48,24,0.02
2026-02-26 14:26:55,571,17254426,24,12,0.01
2026-02-26 14:26:57,573,17254490,64,32,0.03
2026-02-26 14:27:01,577,17254498,8,4,0.00
2026-02-26 14:27:02,578,17254586,88,44,0.04
2026-02-26 14:27:07,583,17254610,24,12,0.01
2026-02-26 14:27:13,589,17254650,40,20,0.01
2026-02-26 14:27:16,592,17254674,24,12,0.01
2026-02-26 14:27:17,593,17254738,64,32,0.03
2026-02-26 14:27:21,597,17254754,16,8,0.00
2026-02-26 14:27:23,599,17254842,88,44,0.04
2026-02-26 14:27:25,601,17255002,160,80,0.07
2026-02-26 14:27:29,605,17255050,48,24,0.02
2026-02-26 14:27:36,612,17255130,80,40,0.03
2026-02-26 14:27:41,617,17255154,24,12,0.01
2026-02-26 14:27:47,623,17255210,56,28,0.02
2026-02-26 14:27:51,627,17255226,16,8,0.00
2026-02-26 14:27:53,629,17255282,56,28,0.02
2026-02-26 14:27:55,631,17255298,16,8,0.00
2026-02-26 14:27:58,634,17255338,40,20,0.01
2026-02-26 14:28:01,637,17255394,56,28,0.02
2026-02-26 14:28:05,641,17255482,88,44,0.04
2026-02-26 14:28:06,642,17255490,8,4,0.00
2026-02-26 14:28:10,646,17255514,24,12,0.01
2026-02-26 14:28:16,652,17255578,64,32,0.03
2026-02-26 14:28:21,657,17255666,88,44,0.04
2026-02-26 14:28:27,663,17255722,56,28,0.02
2026-02-26 14:28:31,667,17255850,128,64,0.06
2026-02-26 14:28:36,672,17255978,128,64,0.06
2026-02-26 14:28:37,673,17255986,8,4,0.00
2026-02-26 14:28:41,677,17255994,8,4,0.00
2026-02-26 14:28:42,678,17256034,40,20,0.01
2026-02-26 14:28:46,682,17256042,8,4,0.00
2026-02-26 14:28:47,683,17256082,40,20,0.01
2026-02-26 14:28:52,688,17256098,16,8,0.00
2026-02-26 14:28:53,689,17256154,56,28,0.02
2026-02-26 14:28:56,692,17256170,16,8,0.00
2026-02-26 14:28:58,694,17256234,64,32,0.03
2026-02-26 14:29:01,697,17256250,16,8,0.00
2026-02-26 14:29:04,700,17256338,88,44,0.04
2026-02-26 14:29:10,706,17256362,24,12,0.01
2026-02-26 14:29:11,707,17256458,96,48,0.04
2026-02-26 14:29:16,712,17256498,40,20,0.01
2026-02-26 14:29:17,713,17256514,16,8,0.00
2026-02-26 14:29:21,717,17256554,40,20,0.01
2026-02-26 14:29:22,718,17256578,24,12,0.01
2026-02-26 14:29:26,722,17256618,40,20,0.01
2026-02-26 14:29:27,723,17256626,8,4,0.00
2026-02-26 14:29:31,727,17256754,128,64,0.06
2026-02-26 14:29:37,733,17256794,40,20,0.01
2026-02-26 14:29:43,739,17256834,40,20,0.01
2026-02-26 14:29:47,743,17256898,64,32,0.03
2026-02-26 14:29:48,744,17256938,40,20,0.01
2026-02-26 14:29:52,748,17256954,16,8,0.00
